CMDLINE D:\Python\python.exe main.py
MEM 2.191406 1742569650.5491
MEM 19.472656 1742569650.6498
MEM 28.140625 1742569650.7504
MEM 37.140625 1742569650.8509
MEM 44.097656 1742569650.9512
MEM 48.605469 1742569651.0517
MEM 53.964844 1742569651.1523
MEM 54.503906 1742569651.2528
MEM 54.566406 1742569651.3532
MEM 54.671875 1742569651.4535
MEM 54.746094 1742569651.5539
MEM 54.824219 1742569651.6543
MEM 54.882812 1742569651.7571
MEM 54.933594 1742569651.8578
MEM 54.992188 1742569651.9585
MEM 55.066406 1742569652.0588
MEM 55.148438 1742569652.1593
MEM 55.203125 1742569652.2599
MEM 55.304688 1742569652.3604
MEM 55.343750 1742569652.4610
MEM 55.390625 1742569652.5616
MEM 55.433594 1742569652.6620
MEM 55.472656 1742569652.7627
MEM 55.511719 1742569652.8633
MEM 55.687500 1742569652.9639
MEM 55.691406 1742569653.0643
MEM 55.757812 1742569653.1647
MEM 55.761719 1742569653.2655
MEM 55.789062 1742569653.3658
MEM 55.828125 1742569653.4664
MEM 55.859375 1742569653.5669
MEM 56.996094 1742569653.6671
MEM 57.011719 1742569653.7675
MEM 57.011719 1742569653.8681
MEM 57.011719 1742569653.9685
MEM 57.011719 1742569654.0688
MEM 57.011719 1742569654.1694
MEM 57.011719 1742569654.2696
MEM 57.011719 1742569654.3702
MEM 57.011719 1742569654.4708
MEM 57.011719 1742569654.5714
MEM 57.011719 1742569654.6723
MEM 57.011719 1742569654.7728
MEM 57.011719 1742569654.8737
MEM 57.011719 1742569654.9746
MEM 57.011719 1742569655.0754
MEM 57.011719 1742569655.1758
MEM 57.011719 1742569655.2768
MEM 57.011719 1742569655.3779
MEM 57.011719 1742569655.4789
MEM 57.011719 1742569655.5796
MEM 57.011719 1742569655.6809
MEM 57.011719 1742569655.7815
MEM 57.011719 1742569655.8823
MEM 57.011719 1742569655.9826
MEM 57.011719 1742569656.0831
MEM 57.011719 1742569656.1834
MEM 57.011719 1742569656.2838
MEM 57.011719 1742569656.3841
MEM 57.011719 1742569656.4848
MEM 57.011719 1742569656.5854
MEM 57.011719 1742569656.6862
MEM 57.011719 1742569656.7867
MEM 57.011719 1742569656.8874
MEM 57.011719 1742569656.9880
MEM 57.011719 1742569657.0888
MEM 57.011719 1742569657.1890
MEM 57.011719 1742569657.2896
MEM 57.011719 1742569657.3905
MEM 57.011719 1742569657.4911
MEM 57.011719 1742569657.5914
MEM 57.011719 1742569657.6921
MEM 57.011719 1742569657.7927
MEM 57.011719 1742569657.8936
MEM 57.011719 1742569657.9940
MEM 57.011719 1742569658.0943
MEM 57.011719 1742569658.1950
MEM 57.011719 1742569658.2952
MEM 57.011719 1742569658.3956
MEM 57.011719 1742569658.4959
MEM 57.011719 1742569658.5965
MEM 57.011719 1742569658.6973
MEM 57.011719 1742569658.7977
MEM 57.011719 1742569658.8983
MEM 57.011719 1742569658.9992
MEM 57.011719 1742569659.0998
MEM 57.011719 1742569659.2006
MEM 57.011719 1742569659.3011
MEM 57.011719 1742569659.4015
MEM 57.011719 1742569659.5023
MEM 57.011719 1742569659.6029
MEM 57.023438 1742569659.7035
